song,artist,credits,last,peak,weeks,date
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",3,3,17,2020-04-04
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",6,4,15,2020-04-04
Everything I Wanted,Billie Eilish,Finneas,8,5,18,2020-04-04
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",5,1,31,2020-04-04
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,9,7,14,2020-04-04
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",4,2,19,2020-04-04
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",7,5,18,2020-04-04
Say So,Doja Cat,TYSON TRAX,11,10,8,2020-04-04
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",10,10,8,2020-04-04
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",14,12,17,2020-04-04
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",15,13,5,2020-04-04
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",12,1,28,2020-04-04
You Should Be Sad,Halsey,G.Kurstin,16,13,11,2020-04-04
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",18,16,4,2020-04-04
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",20,17,5,2020-04-04
Know Your Worth,Khalid x Disclosure,Disclosure,19,18,8,2020-04-04
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",21,19,12,2020-04-04
The Box,Roddy Ricch,30Roc,22,20,10,2020-04-04
The Man,Taylor Swift,"J.Little, T.Swift",23,21,9,2020-04-04
Rare,Selena Gomez,"Sir Nolan, Simon Says",17,17,9,2020-04-04
To Die For,Sam Smith,"StarGate, Jimmy Napes",24,23,7,2020-04-04
Ride It.,Regard,Regard,27,24,9,2020-04-04
Before You Go,Lewis Capaldi,TMS,26,25,12,2020-04-04
Modern Loneliness,Lauv,(),28,26,4,2020-04-04
The Bones,Maren Morris,G.Kurstin,30,27,5,2020-04-04
Sunday Best,Surfaces,"F.Frank, C.Padalecki",32,28,3,2020-04-04
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",25,14,11,2020-04-04
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",29,28,11,2020-04-04
No Judgement,Niall Horan,"J.Bunetta, T.Jesso Jr.",31,30,7,2020-04-04
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",-,32,1,2020-04-04
Sad Tonight,Chelsea Cutler,(),34,32,9,2020-04-04
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",33,29,18,2020-04-04
Life Is Good,Future Featuring Drake,"OZ, D.Hill",35,35,3,2020-04-04
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,-,36,1,2020-04-04
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",-,37,1,2020-04-04
What If I Told You That I Love You,Ali Gatie,"A.Gatie, Sam Wish, Danny Boy",36,36,3,2020-04-04
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,38,37,4,2020-04-04
July,Noah Cyrus & Leon Bridges,M.Sonier,39,39,3,2020-04-04
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",3,1,18,2020-04-11
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",4,2,16,2020-04-11
Don't Start Now,Dua Lipa,I.Kirkpatrick,1,1,22,2020-04-11
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",2,2,23,2020-04-11
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,7,5,15,2020-04-11
Everything I Wanted,Billie Eilish,Finneas,5,5,19,2020-04-11
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",6,1,32,2020-04-11
Say So,Doja Cat,TYSON TRAX,10,8,9,2020-04-11
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",11,9,9,2020-04-11
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",8,2,20,2020-04-11
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",12,11,18,2020-04-11
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",9,5,19,2020-04-11
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",13,13,6,2020-04-11
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",14,1,29,2020-04-11
You Should Be Sad,Halsey,G.Kurstin,15,13,12,2020-04-11
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",16,16,5,2020-04-11
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",19,17,13,2020-04-11
The Box,Roddy Ricch,30Roc,20,18,11,2020-04-11
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",17,17,6,2020-04-11
Know Your Worth,Khalid x Disclosure,Disclosure,18,18,9,2020-04-11
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",37,21,2,2020-04-11
The Man,Taylor Swift,"J.Little, T.Swift",21,21,10,2020-04-11
Ride It.,Regard,Regard,24,23,10,2020-04-11
Sunday Best,Surfaces,"F.Frank, C.Padalecki",28,24,4,2020-04-11
Modern Loneliness,Lauv,(),26,25,5,2020-04-11
Before You Go,Lewis Capaldi,TMS,25,25,13,2020-04-11
The Bones,Maren Morris,G.Kurstin,27,27,6,2020-04-11
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",32,28,2,2020-04-11
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,36,29,2,2020-04-11
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",30,28,12,2020-04-11
Toosie Slide,Drake,OZ,-,31,1,2020-04-11
To Die For,Sam Smith,"StarGate, Jimmy Napes",23,23,8,2020-04-11
Life Is Good,Future Featuring Drake,"OZ, D.Hill",35,33,4,2020-04-11
Rare,Selena Gomez,"Sir Nolan, Simon Says",22,17,10,2020-04-11
Old Me,5 Seconds Of Summer,(),-,35,1,2020-04-11
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,39,36,5,2020-04-11
What If I Told You That I Love You,Ali Gatie,"A.Gatie, Sam Wish, Danny Boy",38,36,4,2020-04-11
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",29,14,12,2020-04-11
Roses,SAINt JHN,f a l l e n,-,39,1,2020-04-11
Baby Girl,Bryce Vine,(),-,40,1,2020-04-11
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,17,2020-04-18
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",1,1,19,2020-04-18
Don't Start Now,Dua Lipa,I.Kirkpatrick,3,1,23,2020-04-18
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,5,4,16,2020-04-18
Everything I Wanted,Billie Eilish,Finneas,6,5,20,2020-04-18
Say So,Doja Cat,TYSON TRAX,8,6,10,2020-04-18
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",4,2,24,2020-04-18
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",9,8,10,2020-04-18
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",7,1,33,2020-04-18
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",11,10,19,2020-04-18
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",13,11,7,2020-04-18
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",16,12,6,2020-04-18
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",12,5,20,2020-04-18
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",10,2,21,2020-04-18
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",17,15,14,2020-04-18
The Box,Roddy Ricch,30Roc,18,16,12,2020-04-18
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",21,17,3,2020-04-18
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",19,17,7,2020-04-18
Ride It.,Regard,Regard,23,19,11,2020-04-18
The Man,Taylor Swift,"J.Little, T.Swift",22,20,11,2020-04-18
Sunday Best,Surfaces,"F.Frank, C.Padalecki",24,21,5,2020-04-18
The Bones,Maren Morris,G.Kurstin,27,22,7,2020-04-18
Modern Loneliness,Lauv,(),25,23,6,2020-04-18
You Should Be Sad,Halsey,G.Kurstin,15,13,13,2020-04-18
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",28,25,3,2020-04-18
Before You Go,Lewis Capaldi,TMS,26,25,14,2020-04-18
Toosie Slide,Drake,OZ,31,27,2,2020-04-18
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,29,28,3,2020-04-18
Know Your Worth,Khalid x Disclosure,Disclosure,20,18,10,2020-04-18
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",30,28,13,2020-04-18
Life Is Good,Future Featuring Drake,"OZ, D.Hill",33,31,5,2020-04-18
Old Me,5 Seconds Of Summer,(),35,32,2,2020-04-18
Roses,SAINt JHN,f a l l e n,39,33,2,2020-04-18
